Number matching: 52
Number not matching: 0
Total Number:52
serial_number:32439    batch:32376
serial_number:31983    batch:32383
serial_number:36712    batch:32431
serial_number:36492    batch:32431
serial_number:36621    batch:32452
serial_number:36776    batch:32520
serial_number:36760    batch:32520
serial_number:36665    batch:32520
serial_number:31404    batch:32219
serial_number:31615    batch:32434
serial_number:31670    batch:32451
serial_number:32513    batch:32454
serial_number:31352    batch:32218
serial_number:31211    batch:32310
serial_number:36494    batch:32430
serial_number:36587    batch:32451
serial_number:32505    batch:32453
serial_number:34762    batch:32453
serial_number:32151    batch:32492
serial_number:32418    batch:32315
serial_number:32508    batch:32311
serial_number:36523    batch:32380
serial_number:36589    batch:32387
serial_number:32174    batch:32406
serial_number:31734    batch:32453
serial_number:36790    batch:32520
serial_number:34835    batch:32220
serial_number:32422    batch:32380
serial_number:32386    batch:32381
serial_number:31778    batch:32379
serial_number:36809    batch:32433
serial_number:32117    batch:32433
serial_number:32414    batch:32451
serial_number:32512    batch:32453
serial_number:31869    batch:32190
serial_number:31603    batch:32260
serial_number:32359    batch:32281
serial_number:32258    batch:32381
serial_number:32235    batch:32431
serial_number:32187    batch:32435
serial_number:31535    batch:32435
serial_number:32493    batch:32493
serial_number:32559    batch:32432
serial_number:31855    batch:32435
serial_number:31787    batch:32451
serial_number:31386    batch:32283
serial_number:31484    batch:32315
serial_number:31423    batch:32374
serial_number:32233    batch:32380
serial_number:32385    batch:32382
serial_number:36537    batch:32434
serial_number:36592    batch:32451
